ID,Time,Temperature,Precipitation,WindVelocity,WindDirection
98,2019-09-20 16:00,20.7,,0.9,50
98,2019-09-20 17:00,20.6,,0.6,70
98,2019-09-20 18:00,19.7,,0.4,0
98,2019-09-20 19:00,18.4,,0.8,90
98,2019-09-20 20:00,17.9,,0.4,0
98,2019-09-20 21:00,17.6,,1.3,110
98,2019-09-20 22:00,17.2,,0.5,50
98,2019-09-20 23:00,16.7,,0.5,140
98,2019-09-21 0:00,16.2,,1,20
98,2019-09-21 1:00,16,,0.9,360
98,2019-09-21 2:00,15.8,,1.3,360
98,2019-09-21 3:00,15.3,,0.4,0
98,2019-09-21 4:00,15.3,,0.7,50
98,2019-09-21 5:00,15.1,,0.7,360
98,2019-09-21 6:00,15.6,,0.5,50
98,2019-09-21 7:00,15.8,,0.4,0
98,2019-09-21 8:00,15.4,,0.6,20
98,2019-09-21 9:00,16.1,,0.9,320
98,2019-09-21 10:00,16.5,,0.7,360
98,2019-09-21 11:00,17.2,,0.6,50
98,2019-09-21 12:00,18.2,,0.3,0
98,2019-09-21 13:00,19.8,,1.1,360
98,2019-09-21 14:00,20,,1.2,20
98,2019-09-21 15:00,20.3,,1,20
98,2019-09-21 16:00,20.1,,0.6,70
98,2019-09-21 17:00,19.3,,0.8,90
98,2019-09-21 18:00,18.7,,0.6,110
98,2019-09-21 19:00,18.2,,0.5,50
98,2019-09-21 20:00,17.7,,0.8,360
98,2019-09-21 21:00,17.7,,0.2,0
98,2019-09-21 22:00,16.7,,0.5,50
98,2019-09-21 23:00,16.3,,0.5,20
98,2019-09-22 0:00,16.3,,1,360
99,2019-09-16 1:00,19.5,,1.9,70
99,2019-09-16 2:00,19.5,,2.9,90
99,2019-09-16 3:00,19,,1.8,90
99,2019-09-16 4:00,18.6,,2.4,50
99,2019-09-16 5:00,18.3,,1.9,70
99,2019-09-16 6:00,17.9,,1.9,90
99,2019-09-16 7:00,18.3,,1.9,90
99,2019-09-16 8:00,19.1,,2,70
99,2019-09-16 9:00,20.5,,1.1,90
99,2019-09-16 10:00,23.5,,1.9,110
